player_name,PTS,+/-,TRB,trueShooting,assistToTurnover,stocks,games,minutesPlayed,usage
Corliss Williamson,9343,284,3240,0.5238351044512226,0.6015201243738122,0.8911729141475212,827,23.259794437726743,0.5192070963040447
Mitch Richmond,6845,-406,1137,0.5348272807688398,1.2950085966043414,1.372340425531915,376,31.742065602836856,0.5713852845560178
Olden Polynice,2905,-177,2554,0.46501720117476303,0.5748460861917327,1.2955145118733509,379,25.416754617414234,0.360391636254916
Mahmoud Abdul-Rauf,1524,-244,184,0.4580100618524552,1.1164383561643836,0.6095890410958904,146,21.563584474885854,0.5444579703290309
Brian Grant,6188,13,4870,0.5136958912593665,0.5936888201957753,1.1947449768160743,647,28.08034518289544,0.36319808808038173
Tyus Edney,862,-79,190,0.49151281386742485,1.6780246913580246,0.9629629629629629,135,16.614444444444448,0.48923194322521046
Michael Smith,1601,-914,2315,0.5328787059372448,0.76843853820598,1.3488372093023255,301,24.685271317829432,0.2493785736501707
Lionel Simmons,137,-97,103,0.37886236588447497,0.8910256410256411,0.5384615384615384,39,13.2474358974359,0.3647457374270235
Duane Causwell,394,-297,395,0.443624182704585,0.11342592592592594,0.9791666666666666,144,11.400231481481475,0.30558563224031277
Clyde Drexler,2766,486,835,0.5272884588353579,2.2643168378462493,2.3856209150326797,153,36.294117647058826,0.5382222032965289
Kevin Willis,5089,-775,3485,0.46694450417654493,0.33068181818181824,1.0017482517482517,572,21.459061771561732,0.4574002982230845
Hakeem Olajuwon,5659,535,3001,0.523282510283272,0.9294092908902689,3.3206521739130435,368,30.60221920289851,0.5304629623493102
Matt Maloney,2389,186,525,0.5102730143464944,1.5939393939393942,0.8798701298701299,308,26.47413419913421,0.32580391489445826
Mario Elie,3283,925,1090,0.5811718737348516,1.4283887468030692,1.1662404092071612,391,28.571909633418574,0.29477051302180485
Othella Harrington,5309,-318,3179,0.5262291112586458,0.29927230046948355,0.6774647887323944,710,19.927887323943658,0.4109305389658531
Randy Livingston,821,-2,298,0.4065526062973233,0.7928802588996764,0.7815533980582524,206,13.809304207119748,0.40081383961818834
Matt Bullard,1767,128,626,0.48738746613560624,0.35161964472309304,0.5203761755485894,319,15.877690700104491,0.3413333127868076
Sam Mack,1579,-377,393,0.47362814825397764,0.5139639639639639,0.8378378378378378,185,21.6654954954955,0.4103722770570722
Tracy Moore,97,-30,26,0.5082212661624186,0.43478260869565216,0.17391304347826086,23,9.958695652173912,0.558697291100238
Loy Vaught,1712,-596,1319,0.399512433031208,0.39277016742770166,0.8310502283105022,219,20.642846270928445,0.401431131794562
Malik Sealy,2956,-25,927,0.4987707470328562,0.9477380952380953,1.3857142857142857,280,26.755416666666665,0.4387867402326739
Pooh Richardson,649,-409,207,0.40313546765261615,1.558641975308642,0.8222222222222222,135,18.267777777777773,0.3677973901242166
Kevin Duckworth,104,-140,60,0.40771519900985675,0.43,0.8,25,15.229999999999997,0.3802468701956147
Rodney Rogers,7632,-241,3268,0.5074818851809343,0.9552692099567097,1.4644886363636365,704,25.31077178030305,0.47788080122667415
Lamond Murray,6572,-1297,2476,0.49463171539146455,0.645332187857961,1.3694158075601375,582,24.66068155784651,0.5018441269944017
Bo Outlaw,4076,874,3794,0.5244024180972906,0.8891704537970099,2.2503457814661134,723,24.38354080221301,0.24948177049401657
Darrick Martin,2909,-403,458,0.44948733185092005,1.4162414965986394,0.7040816326530612,392,18.957908163265294,0.466346635332683
Terry Dehere,1038,-251,226,0.4585647370560498,1.1041666666666667,0.5523255813953488,172,15.947965116279072,0.4677208695786221
Stanley Roberts,651,2,485,0.43290980416026625,0.24190938511326862,1.3009708737864079,103,17.633333333333336,0.42253501760960765
Latrell Sprewell,12070,-85,2676,0.4935813685871985,1.6941675617615468,1.5398496240601505,665,38.46649122807017,0.5280635275170574
Joe Smith,10279,-308,6097,0.4914596024066473,0.4619464702798034,1.3123123123123124,999,25.286069402736047,0.4300089618538664
Chris Mullin,3229,360,932,0.584998795080481,1.0674641330891328,1.483974358974359,312,25.067200854700843,0.4004360108013956
Mark Price,1390,-130,308,0.5331713845725046,2.088471177944862,0.9624060150375939,133,24.822932330827072,0.48139146502998864
Todd Fuller,840,-159,687,0.43222774631259947,0.09775641025641027,0.4519230769230769,208,12.286298076923073,0.4363294599383608
Bimbo Coles,2397,-1283,699,0.4251851772327468,1.65026525198939,0.8063660477453581,377,21.734350132625995,0.3611818515292634
B.J. Armstrong,991,-350,246,0.4847820083735332,1.210952380952381,0.4685714285714286,175,16.719714285714286,0.35805773578664324
Ray Owes,177,-58,161,0.38471089149416166,0.09183673469387756,0.6326530612244898,49,11.807823129251702,0.3768706868144383
Andrew DeClercq,2796,-320,2481,0.503479784229266,0.3268798105387804,1.22202486678508,563,17.368117229129666,0.3247111480048741
Clifford Rozier,195,-95,239,0.42083501469694423,0.22101449275362317,1.4782608695652173,46,16.578985507246376,0.30694562780521667
Kenny Anderson,5832,420,1583,0.47406233286148286,2.358552170868347,1.4779411764705883,544,28.318688725490205,0.43219489789532056
Clifford Robinson,11105,570,3511,0.4767376995443379,1.1571590540978298,1.8843537414965987,882,31.572486772486744,0.4370337663759214
Rasheed Wallace,17735,4701,8200,0.536161858199855,0.8590876268540202,2.314754098360656,1220,33.04945355191255,0.45398988512072486
Aaron McKie,5366,693,2400,0.4599487382720617,1.2944100091827362,1.3581267217630855,726,24.805234159779598,0.3258817610877852
Arvydas Sabonis,5070,1652,3175,0.5473228954441516,0.9432988580047403,1.834841628959276,442,24.68491704374059,0.4836869406743551
